fan
id,AUC,pAUC
00,0.5419656019656021,0.49437475753265225
02,0.7209192200557103,0.5269022137516494
04,0.6163218390804598,0.5310042347247429
06,0.7401662049861496,0.5252952325411867
Average,0.6548432165219805,0.5193941096375578

